Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition
7117,31,Female,13,Media,6177,Good,High,Average,0,Yes,68,Associate Degree,Married,2,Senior,Small,33,No,No,No,Good,High
8754,59,Female,6,Healthcare,7130,Good,High,Average,0,No,46,Associate Degree,Divorced,1,Mid,Large,57,No,No,No,Good,Low
53220,34,Male,6,Media,6348,Fair,Very High,High,0,No,19,High School,Divorced,0,Mid,Small,31,Yes,No,No,Excellent,High
53334,29,Female,1,Healthcare,7606,Fair,Medium,Average,1,Yes,12,Associate Degree,Single,4,Mid,Small,38,Yes,No,No,Good,Medium
14583,23,Male,8,Media,6186,Good,High,Average,1,Yes,12,High School,Married,1,Mid,Medium,59,No,Yes,No,Good,Very High
53355,27,Male,2,Healthcare,6426,Fair,High,Average,3,No,37,Bachelor’s Degree,Married,1,Mid,Medium,79,No,Yes,No,Good,Low
65188,34,Female,11,Media,6429,Good,Very High,High,0,No,25,Master’s Degree,Married,5,Mid,Medium,89,No,No,No,Fair,Medium
68857,59,Female,44,Finance,9492,Good,Medium,High,1,Yes,94,Master’s Degree,Married,0,Entry,Medium,78,No,No,No,Excellent,High
19082,56,Female,15,Education,3484,Good,High,High,0,Yes,28,Bachelor’s Degree,Married,0,Senior,Medium,90,No,No,No,Good,Medium
5901,34,Female,24,Healthcare,8345,Good,Very High,Average,0,No,19,Associate Degree,Divorced,1,Entry,Small,48,No,No,No,Good,High
2117,47,Male,30,Education,4282,Fair,Low,Average,2,No,48,PhD,Married,1,Senior,Small,44,Yes,No,No,Fair,Low
14841,31,Male,17,Finance,7218,Excellent,Very High,Average,0,No,38,Master’s Degree,Married,1,Mid,Small,89,No,No,No,Good,Low
33941,26,Male,8,Finance,7107,Excellent,Very High,Below Average,0,No,64,Bachelor’s Degree,Single,1,Entry,Large,85,No,No,No,Good,Medium
36268,22,Male,7,Education,4154,Poor,High,High,2,Yes,54,Associate Degree,Married,0,Entry,Medium,39,No,No,No,Good,High
24855,38,Male,10,Technology,8901,Good,High,Below Average,1,No,45,Bachelor’s Degree,Married,1,Senior,Large,63,No,No,No,Poor,Low
31834,40,Male,31,Healthcare,10151,Fair,Medium,Low,0,No,79,Bachelor’s Degree,Married,1,Entry,Small,105,No,No,No,Good,Medium
59415,45,Male,30,Finance,9157,Fair,Very High,Average,4,Yes,31,Bachelor’s Degree,Divorced,0,Mid,Large,101,No,No,No,Fair,Low
28122,40,Female,11,Healthcare,9143,Fair,High,Average,0,No,70,Master’s Degree,Married,3,Senior,Small,69,No,No,No,Fair,Low
44704,25,Female,10,Media,6477,Good,High,Average,1,No,94,Associate Degree,Married,1,Entry,Large,73,Yes,No,No,Poor,Low
28844,43,Male,7,Education,3503,Poor,Medium,Average,0,Yes,53,Bachelor’s Degree,Married,0,Mid,Medium,70,No,No,No,Good,High
9065,49,Male,5,Finance,7989,Excellent,High,Average,0,No,25,PhD,Married,0,Senior,Large,36,Yes,No,Yes,Good,Low
34720,38,Male,24,Education,4245,Good,Low,Low,0,No,24,Bachelor’s Degree,Married,4,Mid,Medium,43,No,No,No,Poor,Very High
50194,31,Male,21,Technology,7423,Fair,Very High,Average,2,Yes,84,High School,Married,3,Entry,Large,80,No,No,No,Good,Very High
24566,22,Male,11,Education,3626,Good,High,Below Average,3,No,93,Bachelor’s Degree,Married,3,Mid,Small,83,Yes,No,No,Good,Low
50851,28,Male,5,Media,6143,Good,Low,Average,0,No,76,Bachelor’s Degree,Married,4,Entry,Medium,49,No,No,No,Fair,Low
32770,52,Female,24,Healthcare,7634,Fair,Medium,Average,2,No,33,Associate Degree,Married,0,Entry,Medium,52,No,No,No,Good,Low
40096,34,Male,8,Education,4676,Excellent,High,Below Average,0,Yes,76,Master’s Degree,Divorced,2,Entry,Medium,33,No,Yes,Yes,Excellent,Medium
11877,44,Female,8,Technology,9596,Good,Very High,Average,2,No,31,Bachelor’s Degree,Single,4,Mid,Small,39,No,No,No,Poor,High
57623,23,Male,15,Technology,6388,Fair,Medium,Average,0,No,55,Master’s Degree,Divorced,2,Mid,Medium,65,No,No,Yes,Fair,Medium
39394,52,Female,40,Media,5424,Fair,Very High,Average,3,Yes,40,Master’s Degree,Divorced,0,Entry,Medium,85,No,No,Yes,Poor,Medium
22665,32,Female,19,Education,4048,Good,High,Average,0,Yes,63,Associate Degree,Married,0,Senior,Medium,34,No,No,No,Poor,Low
71288,53,Male,22,Finance,3719,Fair,Low,Low,1,Yes,57,Master’s Degree,Married,0,Senior,Medium,34,No,No,No,Excellent,Low
25895,29,Female,1,Media,6366,Good,Medium,Below Average,0,Yes,69,Associate Degree,Married,0,Mid,Medium,47,No,No,No,Good,Very High
18132,54,Female,3,Media,5433,Fair,Very High,Average,0,Yes,60,Associate Degree,Married,2,Mid,Medium,44,Yes,No,No,Excellent,Low
21061,51,Female,32,Healthcare,7821,Good,Very High,Average,2,No,36,Master’s Degree,Married,0,Mid,Medium,59,No,Yes,No,Poor,Low
30723,18,Female,10,Media,6411,Good,Very High,Average,0,No,65,Master’s Degree,Married,4,Mid,Medium,42,No,No,No,Good,Low
70564,22,Male,10,Education,5277,Poor,Very High,Low,3,No,30,High School,Single,3,Mid,Small,58,No,No,No,Good,Low
24405,53,Male,36,Healthcare,7256,Good,Very High,Below Average,0,Yes,98,Master’s Degree,Single,2,Mid,Small,109,No,No,No,Good,Low
62823,46,Male,3,Technology,7211,Fair,High,Average,1,No,62,Bachelor’s Degree,Married,1,Mid,Medium,15,No,No,No,Poor,High
29958,42,Male,23,Finance,9226,Fair,Medium,Average,0,No,24,Master’s Degree,Divorced,0,Entry,Small,78,No,No,No,Excellent,Low
30264,48,Male,20,Media,6886,Fair,Low,Low,0,Yes,95,Bachelor’s Degree,Single,0,Mid,Small,71,No,No,No,Fair,Medium
73143,34,Male,11,Media,4894,Excellent,Low,Average,0,Yes,4,Bachelor’s Degree,Married,3,Entry,Medium,36,No,No,No,Fair,Medium
811,45,Female,13,Media,5273,Poor,Medium,Average,2,Yes,64,High School,Divorced,1,Entry,Large,88,No,No,No,Poor,Medium
64998,44,Female,11,Technology,10052,Good,Medium,High,0,No,82,Master’s Degree,Single,6,Senior,Medium,62,No,No,No,Good,High
26589,53,Male,40,Technology,10112,Good,High,Average,1,No,31,Bachelor’s Degree,Single,0,Senior,Medium,118,No,No,No,Good,Low
18794,26,Male,5,Finance,7828,Good,Medium,High,1,No,34,Bachelor’s Degree,Married,0,Entry,Small,15,Yes,No,Yes,Fair,Low
30986,33,Male,16,Technology,8720,Good,High,High,1,No,57,Bachelor’s Degree,Single,1,Entry,Medium,34,No,No,No,Excellent,Medium
18155,30,Male,19,Technology,11814,Excellent,High,Average,0,Yes,4,Associate Degree,Married,0,Mid,Medium,57,No,No,No,Poor,High
18693,21,Male,9,Finance,2065,Poor,High,High,0,No,99,Master’s Degree,Married,0,Entry,Large,62,No,No,No,Fair,Medium
65995,19,Male,6,Education,4558,Fair,High,Average,1,Yes,3,High School,Divorced,1,Entry,Small,44,No,No,No,Fair,Low
9489,42,Male,11,Education,4513,Good,High,Average,3,No,62,Master’s Degree,Single,1,Senior,Large,55,No,No,Yes,Poor,Low
35083,53,Male,15,Finance,8657,Good,High,High,2,No,90,Associate Degree,Single,1,Senior,Small,88,No,No,Yes,Excellent,Very High
10885,40,Female,11,Finance,8985,Fair,Medium,High,1,No,19,High School,Married,5,Mid,Medium,64,No,No,No,Good,Medium
16004,22,Female,7,Media,6539,Fair,High,Below Average,0,No,30,Bachelor’s Degree,Single,4,Senior,Medium,52,No,No,No,Good,Medium
64784,28,Female,1,Education,4655,Excellent,Very High,Low,0,No,65,Associate Degree,Married,3,Senior,Large,23,No,No,No,Fair,Medium
46231,38,Female,16,Media,5152,Fair,Low,Average,0,No,36,Bachelor’s Degree,Married,0,Mid,Medium,41,No,No,No,Good,Medium
7438,24,Female,7,Media,6128,Good,Low,Below Average,0,Yes,24,Master’s Degree,Single,4,Entry,Small,57,No,No,No,Good,Low
12717,30,Male,21,Media,6956,Poor,High,Average,0,Yes,12,PhD,Married,3,Mid,Large,65,No,No,No,Poor,Medium
70080,34,Male,8,Media,6262,Excellent,High,High,2,No,26,Bachelor’s Degree,Divorced,1,Entry,Small,38,No,No,No,Good,Low
59741,36,Female,1,Healthcare,9078,Good,Medium,Average,2,No,82,Bachelor’s Degree,Married,0,Entry,Medium,37,No,No,Yes,Fair,Low
53156,22,Male,8,Media,6011,Excellent,Very High,Average,0,Yes,7,Associate Degree,Married,0,Entry,Small,32,No,No,No,Good,Medium
61938,42,Male,24,Media,5309,Good,High,Below Average,0,No,23,Master’s Degree,Single,6,Entry,Small,76,No,No,Yes,Good,High
15635,59,Male,5,Healthcare,8198,Excellent,High,Average,0,Yes,72,Master’s Degree,Married,2,Senior,Medium,43,No,No,No,Good,Low
63996,56,Male,6,Finance,8774,Excellent,Low,Average,0,No,93,Master’s Degree,Single,6,Mid,Medium,26,Yes,No,No,Poor,Medium
58144,39,Female,12,Education,5505,Good,High,Average,3,No,96,Associate Degree,Single,4,Mid,Large,86,No,No,No,Good,Low
33638,38,Male,16,Healthcare,8747,Good,High,High,0,No,45,Bachelor’s Degree,Single,0,Senior,Medium,66,No,No,No,Poor,Medium
1413,40,Male,23,Finance,6849,Fair,High,Average,2,Yes,45,High School,Married,1,Senior,Small,92,Yes,No,No,Good,Low
63584,49,Female,32,Technology,7529,Good,Low,Average,3,Yes,66,Master’s Degree,Single,3,Entry,Small,76,No,No,Yes,Fair,Low
70927,55,Female,26,Healthcare,9519,Excellent,Very High,High,0,No,14,Associate Degree,Married,2,Mid,Medium,102,No,No,No,Fair,High
50479,21,Female,2,Technology,7749,Fair,Medium,Below Average,1,Yes,11,High School,Married,4,Mid,Small,50,No,No,No,Good,High
71978,23,Female,7,Media,5900,Excellent,High,High,0,No,22,Associate Degree,Married,1,Mid,Medium,72,No,No,No,Good,Low
20361,46,Male,6,Finance,5964,Excellent,High,Average,0,No,74,Master’s Degree,Divorced,3,Mid,Large,67,No,No,No,Good,Low
74470,52,Female,3,Media,6292,Fair,Medium,High,1,No,84,Bachelor’s Degree,Married,1,Entry,Large,39,No,No,No,Fair,Medium
798,41,Male,18,Finance,7556,Fair,Medium,Below Average,0,No,17,High School,Single,0,Mid,Large,63,Yes,No,No,Good,Very High
11621,22,Female,13,Technology,9468,Excellent,High,Average,0,Yes,75,Bachelor’s Degree,Single,2,Mid,Medium,67,Yes,Yes,No,Poor,Low
15259,56,Female,25,Healthcare,7612,Fair,High,Average,0,No,66,Master’s Degree,Single,2,Mid,Small,43,No,No,No,Good,Medium
48040,41,Female,15,Media,5657,Good,High,Average,1,Yes,62,Associate Degree,Single,4,Senior,Large,31,No,No,Yes,Good,High
59865,36,Male,15,Technology,6602,Good,High,High,0,Yes,55,Bachelor’s Degree,Married,1,Mid,Medium,47,Yes,No,Yes,Poor,Low
62690,49,Female,35,Technology,12049,Good,High,Average,0,Yes,9,Master’s Degree,Married,1,Entry,Medium,99,No,No,No,Poor,High
10295,58,Male,31,Technology,8488,Good,High,Below Average,2,Yes,9,Bachelor’s Degree,Divorced,0,Mid,Medium,41,No,No,No,Poor,Low
38881,48,Male,38,Media,5118,Fair,Medium,Below Average,0,No,14,Bachelor’s Degree,Single,1,Entry,Small,102,No,No,Yes,Fair,High
3802,23,Male,9,Media,6281,Poor,High,High,2,Yes,98,Associate Degree,Married,1,Mid,Large,68,No,No,No,Good,Low
29888,39,Female,15,Media,5981,Poor,Low,Average,0,No,22,Associate Degree,Married,1,Senior,Small,57,No,No,No,Good,Medium
36694,54,Female,22,Finance,5679,Good,High,High,1,No,14,Master’s Degree,Married,2,Mid,Small,51,No,No,No,Good,High
19321,54,Female,7,Education,5692,Fair,Medium,Average,0,No,49,Associate Degree,Married,4,Entry,Medium,41,No,No,No,Poor,Medium
9316,48,Male,19,Technology,8758,Fair,High,Average,1,No,42,High School,Single,0,Mid,Medium,45,No,No,No,Excellent,Medium
4563,48,Male,22,Finance,9396,Excellent,High,Average,0,Yes,83,Associate Degree,Divorced,2,Entry,Medium,32,No,No,No,Poor,Medium
73695,57,Female,49,Technology,7829,Fair,Very High,Below Average,0,Yes,22,Master’s Degree,Single,2,Mid,Medium,53,Yes,No,No,Good,Low
8123,25,Male,17,Healthcare,9731,Excellent,High,High,0,No,77,Master’s Degree,Married,1,Entry,Small,41,No,No,No,Fair,Low
30473,20,Male,4,Healthcare,8041,Good,Low,High,1,Yes,93,High School,Married,4,Mid,Medium,10,No,No,No,Fair,Low
13708,26,Female,1,Education,5629,Good,Medium,High,0,No,57,Master’s Degree,Divorced,4,Senior,Medium,30,No,No,No,Fair,High
26429,59,Female,33,Media,5808,Good,High,Average,2,No,47,Associate Degree,Married,1,Senior,Medium,76,No,No,Yes,Good,Low
70027,39,Female,23,Technology,8105,Good,Low,Average,0,No,87,Bachelor’s Degree,Married,1,Mid,Medium,88,No,No,No,Poor,Low
6880,47,Male,29,Education,4516,Fair,Very High,Average,1,No,21,Bachelor’s Degree,Divorced,1,Entry,Large,96,No,No,No,Excellent,Medium
44728,28,Female,2,Education,5049,Poor,Very High,Average,0,Yes,41,Associate Degree,Married,0,Mid,Small,36,No,No,No,Poor,Low
33445,52,Male,27,Healthcare,8296,Poor,Medium,High,0,No,61,Master’s Degree,Married,4,Entry,Large,96,Yes,Yes,No,Fair,Low
72999,39,Male,23,Media,6052,Fair,Very High,High,0,No,43,High School,Single,4,Senior,Small,72,No,No,No,Fair,Low
9506,21,Male,4,Media,5882,Good,High,Below Average,0,No,6,Associate Degree,Single,4,Mid,Medium,69,No,No,Yes,Fair,High
59619,43,Male,25,Technology,6837,Poor,High,Below Average,0,No,2,Associate Degree,Married,3,Entry,Small,39,Yes,No,No,Good,Medium
7405,33,Female,21,Healthcare,9828,Poor,High,High,0,No,41,Master’s Degree,Married,0,Senior,Small,62,Yes,No,No,Excellent,High
67570,34,Male,26,Media,6072,Good,Medium,Average,2,Yes,35,High School,Single,4,Entry,Small,54,No,Yes,Yes,Good,Low
26906,47,Male,11,Healthcare,9342,Excellent,High,High,1,Yes,5,Master’s Degree,Married,1,Entry,Medium,33,No,No,No,Fair,Low
19084,53,Female,27,Technology,9737,Excellent,High,Average,0,No,75,High School,Married,4,Senior,Large,89,No,No,No,Good,Very High
60809,25,Female,16,Finance,6778,Fair,Very High,Average,2,No,99,Bachelor’s Degree,Single,2,Senior,Medium,29,No,No,No,Excellent,Medium
62848,55,Male,16,Education,3276,Fair,High,High,2,No,33,Bachelor’s Degree,Married,4,Entry,Small,82,No,No,No,Good,High
27560,34,Male,12,Healthcare,7263,Good,Medium,Average,0,No,11,PhD,Single,2,Mid,Small,63,No,No,No,Good,Low
52346,56,Female,9,Healthcare,7951,Good,Very High,Average,0,No,12,High School,Divorced,2,Senior,Medium,15,No,No,No,Poor,Low
61999,40,Male,18,Media,6346,Excellent,High,Average,1,No,3,High School,Divorced,6,Entry,Medium,50,No,No,No,Fair,Low
36581,46,Male,9,Finance,8932,Excellent,High,Average,2,No,82,Master’s Degree,Married,2,Senior,Large,52,Yes,No,No,Poor,High
69281,37,Female,19,Technology,10693,Poor,Very High,Average,2,Yes,48,High School,Single,0,Mid,Medium,48,No,No,No,Excellent,Low
21597,20,Female,4,Healthcare,8523,Poor,High,Average,0,Yes,38,Bachelor’s Degree,Married,4,Entry,Medium,39,No,No,No,Good,Medium
67775,51,Female,36,Finance,5287,Good,High,Average,0,No,57,Master’s Degree,Divorced,0,Mid,Medium,72,No,No,No,Good,Low
14903,43,Male,17,Technology,9447,Poor,High,Average,3,No,51,Associate Degree,Married,1,Entry,Large,39,No,No,No,Good,Low
71136,52,Male,44,Healthcare,8996,Poor,High,Average,2,No,36,High School,Married,2,Mid,Large,45,No,No,No,Good,Low
33453,42,Female,4,Technology,6843,Excellent,High,Below Average,1,Yes,36,Bachelor’s Degree,Married,1,Entry,Small,44,No,No,No,Poor,High
29603,47,Female,24,Healthcare,7857,Good,High,Average,0,No,98,Bachelor’s Degree,Married,5,Entry,Medium,85,No,No,No,Good,Medium
1955,46,Male,38,Education,4490,Fair,Very High,Low,1,No,84,Master’s Degree,Single,1,Senior,Medium,57,Yes,No,No,Fair,High
49441,35,Male,18,Media,5475,Good,Low,Average,1,No,96,Associate Degree,Married,0,Entry,Small,44,No,No,Yes,Good,High
20025,38,Male,21,Media,5936,Excellent,Very High,Below Average,2,Yes,50,Bachelor’s Degree,Single,1,Mid,Medium,44,No,No,No,Fair,Medium
32585,22,Male,2,Education,3580,Good,High,Below Average,0,No,29,Associate Degree,Married,0,Mid,Medium,67,No,No,No,Poor,Medium
25856,37,Female,29,Media,6509,Excellent,High,Average,0,No,28,Bachelor’s Degree,Single,4,Mid,Medium,97,No,No,No,Good,Very High
8649,25,Female,8,Education,4536,Good,Medium,Low,4,No,5,High School,Single,0,Entry,Large,46,No,No,Yes,Fair,Low
35539,54,Male,24,Healthcare,8647,Fair,High,Below Average,3,No,8,High School,Divorced,1,Mid,Medium,62,No,No,No,Good,Low
67801,55,Male,17,Education,5197,Fair,High,High,0,Yes,55,Bachelor’s Degree,Divorced,3,Senior,Medium,82,Yes,No,No,Good,High
64400,42,Female,17,Healthcare,7100,Good,Medium,Below Average,0,No,95,PhD,Married,3,Mid,Large,47,No,No,No,Poor,Medium
44898,28,Male,4,Healthcare,7823,Good,High,Below Average,0,No,59,Associate Degree,Married,0,Senior,Small,81,No,No,No,Poor,Medium
2974,29,Male,1,Media,5633,Excellent,Very High,Average,1,No,13,Master’s Degree,Married,5,Mid,Large,6,No,No,Yes,Good,High
25082,42,Male,16,Media,5263,Poor,Medium,Average,0,No,61,High School,Married,1,Mid,Small,39,No,No,No,Poor,High
5258,38,Female,30,Finance,9584,Fair,Medium,High,0,No,94,Bachelor’s Degree,Married,2,Entry,Medium,53,No,No,No,Good,Medium
18953,42,Male,34,Healthcare,10569,Poor,High,Low,1,No,10,High School,Single,1,Mid,Medium,113,Yes,No,No,Fair,Medium
16650,50,Male,23,Healthcare,8197,Good,High,High,0,No,1,Associate Degree,Married,2,Senior,Small,97,No,No,Yes,Good,Medium
40464,32,Female,7,Media,5977,Good,High,Average,1,Yes,44,High School,Single,1,Mid,Medium,45,No,No,No,Excellent,Low
42521,24,Female,2,Finance,9481,Fair,Very High,Average,1,Yes,86,Bachelor’s Degree,Single,1,Senior,Small,10,No,Yes,No,Poor,Low
43772,35,Female,5,Healthcare,8452,Excellent,Medium,High,3,No,42,Associate Degree,Married,2,Entry,Medium,25,No,No,No,Poor,High
33042,21,Female,3,Education,5070,Poor,High,Average,1,No,37,Bachelor’s Degree,Married,2,Senior,Large,46,Yes,No,No,Fair,Medium
52879,47,Female,39,Healthcare,7119,Fair,Medium,Average,1,No,1,Bachelor’s Degree,Single,0,Senior,Medium,107,No,No,Yes,Good,Low
5146,19,Female,10,Media,6714,Excellent,High,High,0,No,45,PhD,Married,2,Mid,Medium,26,No,Yes,No,Good,High
39386,26,Male,1,Education,3818,Good,Medium,Average,0,Yes,29,Bachelor’s Degree,Single,0,Mid,Medium,29,Yes,No,No,Good,Medium
65372,46,Male,24,Finance,8680,Excellent,Low,Average,0,Yes,71,Associate Degree,Married,3,Mid,Small,88,No,No,No,Good,Low
